function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_omp,15,1000,500,0,9.226713
decode_tensor_viterbi_omp,15,1000,500,1,2.626421
decode_tensor_viterbi_omp,15,1000,500,2,2.061179
decode_tensor_viterbi_omp,15,1000,500,3,1.988562
decode_tensor_viterbi_omp,15,1000,500,4,0.674659
decode_tensor_viterbi_omp,15,1000,500,5,0.675122
decode_tensor_viterbi_omp,15,1000,500,6,0.673823
decode_tensor_viterbi_omp,15,1000,500,7,0.674191
decode_tensor_viterbi_omp,15,1000,500,8,0.671828
decode_tensor_viterbi_omp,15,1000,500,9,0.675698
