function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,10,1000,250,0,0.030734
decode_tensor_viterbi_cpp,10,1000,250,1,0.026374
decode_tensor_viterbi_cpp,10,1000,250,2,0.026344
decode_tensor_viterbi_cpp,10,1000,250,3,0.026363
decode_tensor_viterbi_cpp,10,1000,250,4,0.026338
decode_tensor_viterbi_cpp,10,1000,250,5,0.026344
decode_tensor_viterbi_cpp,10,1000,250,6,0.026353
decode_tensor_viterbi_cpp,10,1000,250,7,0.026336
decode_tensor_viterbi_cpp,10,1000,250,8,0.026335
decode_tensor_viterbi_cpp,10,1000,250,9,0.026332
