function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_omp,25,1000,500,0,4.694652
decode_tensor_viterbi_omp,25,1000,500,1,0.632469
decode_tensor_viterbi_omp,25,1000,500,2,0.630424
decode_tensor_viterbi_omp,25,1000,500,3,0.630847
decode_tensor_viterbi_omp,25,1000,500,4,0.632880
decode_tensor_viterbi_omp,25,1000,500,5,0.632508
decode_tensor_viterbi_omp,25,1000,500,6,0.626854
decode_tensor_viterbi_omp,25,1000,500,7,0.632050
decode_tensor_viterbi_omp,25,1000,500,8,0.630655
decode_tensor_viterbi_omp,25,1000,500,9,0.631250
