function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cuda,25,10000,100,0,0.297663
decode_tensor_viterbi_cuda,25,10000,100,1,0.088128
decode_tensor_viterbi_cuda,25,10000,100,2,0.086651
decode_tensor_viterbi_cuda,25,10000,100,3,0.078709
decode_tensor_viterbi_cuda,25,10000,100,4,0.078438
decode_tensor_viterbi_cuda,25,10000,100,5,0.078703
decode_tensor_viterbi_cuda,25,10000,100,6,0.078472
decode_tensor_viterbi_cuda,25,10000,100,7,0.078704
decode_tensor_viterbi_cuda,25,10000,100,8,0.078435
decode_tensor_viterbi_cuda,25,10000,100,9,0.078704
