function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cuda,15,1000,100,0,0.227592
decode_tensor_viterbi_cuda,15,1000,100,1,0.008531
decode_tensor_viterbi_cuda,15,1000,100,2,0.008564
decode_tensor_viterbi_cuda,15,1000,100,3,0.008465
decode_tensor_viterbi_cuda,15,1000,100,4,0.008564
decode_tensor_viterbi_cuda,15,1000,100,5,0.008467
decode_tensor_viterbi_cuda,15,1000,100,6,0.008532
decode_tensor_viterbi_cuda,15,1000,100,7,0.008487
decode_tensor_viterbi_cuda,15,1000,100,8,0.008546
decode_tensor_viterbi_cuda,15,1000,100,9,0.008471
