STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.096041507 GHz,
TABLE,Region viterbi_baseline,Group 1 Raw,L3,6
Region Info,HWThread 0,
RDTSC Runtime [s],17.218400,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,69072370000
MAX_CPU_CLOCK,FIXC2,36090820000
RETIRED_INSTRUCTIONS,PMC0,188759100000
CPU_CLOCKS_UNHALTED,PMC1,67985540000
L3_ACCESS,CPMC0,471070400
L3_MISS,CPMC1,104538600
TABLE,Region viterbi_baseline,Group 1 Metric,L3,9
Metric,HWThread 0,
Runtime (RDTSC) [s],17.2184,
Runtime unhalted [s],32.9537,
Clock [MHz],4011.5064,
CPI,0.3602,
L3 access bandwidth [MBytes/s],1750.9470,
L3 access data volume [GBytes],30.1485,
L3 access rate [%],0.2496,
L3 miss rate [%],0.0554,
L3 miss ratio [%],22.1917,
