STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.095172575 GHz,
TABLE,Region viterbi_cpp,Group 1 Raw,L2,5
Region Info,HWThread 0,
RDTSC Runtime [s],2.070300,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,8317256000
MAX_CPU_CLOCK,FIXC2,4339766000
RETIRED_INSTRUCTIONS,PMC0,21532560000
CPU_CLOCKS_UNHALTED,PMC1,8074532000
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,570949400
TABLE,Region viterbi_cpp,Group 1 Metric,L2,8
Metric,HWThread 0,
Runtime (RDTSC) [s],2.0703,
Runtime unhalted [s],3.9697,
Clock [MHz],4015.4438,
CPI,0.3750,
L2D load bandwidth [MBytes/s],17649.9839,
L2D load data volume [GBytes],36.5408,
L2 bandwidth [MBytes/s],17649.9839,
L2 data volume [GBytes],36.5408,
