STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,
CPU type:,Intel SapphireRapids processor,,,,
CPU clock:,2.000043479 GHz,,,,
TABLE,Region viterbi_baseline,Group 1 Raw,L3,7,
Region Info,HWThread 0,,,,
RDTSC Runtime [s],4.377389,,,,
call count,1,,,,
Event,Counter,HWThread 0,,,
INSTR_RETIRED_ANY,FIXC0,13507480000,,,
CPU_CLK_UNHALTED_CORE,FIXC1,5389835000,,,
CPU_CLK_UNHALTED_REF,FIXC2,3202332000,,,
TOPDOWN_SLOTS,FIXC3,32339020000,,,
L2_LINES_IN_ALL,PMC0,38786900,,,
L2_LINES_OUT_SILENT,PMC2,9118833,,,
L2_LINES_OUT_NON_SILENT,PMC3,27832860,,,
TABLE,Region viterbi_baseline,Group 1 Metric,L3,12,
Metric,HWThread 0,,,,
Runtime (RDTSC) [s],4.3774,,,,
Runtime unhalted [s],2.6949,,,,
Clock [MHz],3366.2669,,,,
CPI,0.3990,,,,
L3 load bandwidth [MBytes/s],567.0873,,,,
L3 load data volume [GBytes],2.4824,,,,
L3 evict bandwidth [MBytes/s],406.9328,,,,
L3 evict data volume [GBytes],1.7813,,,,
Dropped CLs bandwidth [MBytes/s],133.3227,,,,
Dropped CLs data volume [GBytes],0.5836,,,,
L3 bandwidth [MBytes/s],974.0200,,,,
L3 data volume [GBytes],4.2637,,,,
