Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,23054891500,202517700,207494200,2.058472e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12112471450,96943620,120200800,1.081471e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,8073808880,64616800,80117760,7.208758e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPDOWN_SLOTS STAT,FIXC3,72676806800,581666700,721209500,6.489001e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1D_REPLACEMENT STAT,PMC0,595567457,5116823,5424160,5.317567e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region viterbi_omp_opt,Group 1 Metric,L2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,
Runtime (RDTSC) [s],0.3941,0.3941,0.3942,0.3938,0.3938,0.3938,0.3938,0.3938,0.3937,0.3938,0.3939,0.3938,0.3938,0.3938,0.3940,0.3938,0.3941,0.3938,0.3941,0.3938,0.3941,0.3940,0.3941,0.3938,0.3941,0.3941,0.3937,0.3941,0.3938,0.3938,0.3938,0.3937,0.3938,0.3938,0.3938,0.3938,0.3938,0.3938,0.3938,0.3937,0.3941,0.3937,0.3938,0.3938,0.3938,0.3938,0.3938,0.3937,0.3938,0.3938,0.3938,0.3938,0.3937,0.3938,0.3938,0.3938,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3936,0.3938,0.3937,0.3937,0.3937,0.3936,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3938,0.3937,0.3937,0.3937,0.3941,0.3937,0.3937,0.3937,0.3937,0.3936,0.3937,0.3937,0.3937,0.3937,0.3937,0.3936,0.3937,0.3937,0.3936,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3936,0.3936,0.3936,0.3937,0.3939,
Runtime unhalted [s],0.0569,0.0563,0.0553,0.0550,0.0554,0.0552,0.0548,0.0545,0.0542,0.0544,0.0495,0.0498,0.0489,0.0497,0.0502,0.0488,0.0492,0.0490,0.0546,0.0558,0.0562,0.0557,0.0552,0.0548,0.0547,0.0554,0.0559,0.0563,0.0560,0.0559,0.0558,0.0554,0.0561,0.0566,0.0566,0.0569,0.0574,0.0553,0.0558,0.0562,0.0564,0.0562,0.0563,0.0571,0.0566,0.0570,0.0558,0.0564,0.0567,0.0568,0.0566,0.0572,0.0560,0.0565,0.0569,0.0571,0.0600,0.0590,0.0591,0.0601,0.0593,0.0589,0.0584,0.0585,0.0485,0.0582,0.0584,0.0486,0.0487,0.0486,0.0488,0.0486,0.0488,0.0491,0.0488,0.0599,0.0569,0.0485,0.0565,0.0567,0.0567,0.0487,0.0566,0.0568,0.0557,0.0566,0.0572,0.0489,0.0493,0.0570,0.0494,0.0575,0.0574,0.0490,0.0492,0.0488,0.0491,0.0579,0.0488,0.0488,0.0486,0.0564,0.0487,0.0487,0.0566,0.0493,0.0489,0.0491,0.0488,0.0565,0.0485,0.0488,
