function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,15,10000,250,0,0.710034
decode_tensor_viterbi_cpp,15,10000,250,1,0.688904
decode_tensor_viterbi_cpp,15,10000,250,2,0.688610
decode_tensor_viterbi_cpp,15,10000,250,3,0.688629
decode_tensor_viterbi_cpp,15,10000,250,4,0.688541
decode_tensor_viterbi_cpp,15,10000,250,5,0.688671
decode_tensor_viterbi_cpp,15,10000,250,6,0.688580
decode_tensor_viterbi_cpp,15,10000,250,7,0.688698
decode_tensor_viterbi_cpp,15,10000,250,8,0.688552
decode_tensor_viterbi_cpp,15,10000,250,9,0.688629
decode_tensor_viterbi_omp,15,10000,250,0,6.391119
decode_tensor_viterbi_omp,15,10000,250,1,3.634838
decode_tensor_viterbi_omp,15,10000,250,2,2.041636
decode_tensor_viterbi_omp,15,10000,250,3,1.027256
decode_tensor_viterbi_omp,15,10000,250,4,1.029540
decode_tensor_viterbi_omp,15,10000,250,5,1.035862
decode_tensor_viterbi_omp,15,10000,250,6,1.034037
decode_tensor_viterbi_omp,15,10000,250,7,1.030068
decode_tensor_viterbi_omp,15,10000,250,8,1.029384
decode_tensor_viterbi_omp,15,10000,250,9,1.035646
HSMMLearn_CPP,15,10000,250,0,8.095239
HSMMLearn_CPP,15,10000,250,1,8.037932
HSMMLearn_CPP,15,10000,250,2,8.040523
HSMMLearn_CPP,15,10000,250,3,8.040775
HSMMLearn_CPP,15,10000,250,4,8.045812
HSMMLearn_OMP,15,10000,250,0,0.584710
HSMMLearn_OMP,15,10000,250,1,0.583145
HSMMLearn_OMP,15,10000,250,2,0.580617
HSMMLearn_OMP,15,10000,250,3,0.598697
HSMMLearn_OMP,15,10000,250,4,0.584850
