function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,10,10000,100,0,0.125211
decode_tensor_viterbi_cpp,10,10000,100,1,0.118946
decode_tensor_viterbi_cpp,10,10000,100,2,0.118678
decode_tensor_viterbi_cpp,10,10000,100,3,0.118635
decode_tensor_viterbi_cpp,10,10000,100,4,0.118868
decode_tensor_viterbi_cpp,10,10000,100,5,0.118650
decode_tensor_viterbi_cpp,10,10000,100,6,0.118598
decode_tensor_viterbi_cpp,10,10000,100,7,0.118873
decode_tensor_viterbi_cpp,10,10000,100,8,0.118639
decode_tensor_viterbi_cpp,10,10000,100,9,0.118645
decode_tensor_viterbi_omp,10,10000,100,0,1.908660
decode_tensor_viterbi_omp,10,10000,100,1,0.430196
decode_tensor_viterbi_omp,10,10000,100,2,0.178253
decode_tensor_viterbi_omp,10,10000,100,3,0.178313
decode_tensor_viterbi_omp,10,10000,100,4,0.178092
decode_tensor_viterbi_omp,10,10000,100,5,0.178474
decode_tensor_viterbi_omp,10,10000,100,6,0.178069
decode_tensor_viterbi_omp,10,10000,100,7,0.178298
decode_tensor_viterbi_omp,10,10000,100,8,0.178175
decode_tensor_viterbi_omp,10,10000,100,9,0.178912
HSMMLearn_CPP,10,10000,100,0,1.723979
HSMMLearn_CPP,10,10000,100,1,1.679457
HSMMLearn_CPP,10,10000,100,2,1.679170
HSMMLearn_CPP,10,10000,100,3,1.678672
HSMMLearn_CPP,10,10000,100,4,1.679369
HSMMLearn_OMP,10,10000,100,0,0.187300
HSMMLearn_OMP,10,10000,100,1,0.183808
HSMMLearn_OMP,10,10000,100,2,0.183681
HSMMLearn_OMP,10,10000,100,3,0.183934
HSMMLearn_OMP,10,10000,100,4,0.184053
