function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,25,10000,1000,0,7.035464
decode_tensor_viterbi_cpp,25,10000,1000,1,7.034393
decode_tensor_viterbi_cpp,25,10000,1000,2,7.035180
decode_tensor_viterbi_cpp,25,10000,1000,3,7.033384
decode_tensor_viterbi_cpp,25,10000,1000,4,7.032612
decode_tensor_viterbi_cpp,25,10000,1000,5,7.037515
decode_tensor_viterbi_cpp,25,10000,1000,6,7.034592
decode_tensor_viterbi_cpp,25,10000,1000,7,7.036233
decode_tensor_viterbi_cpp,25,10000,1000,8,7.033974
decode_tensor_viterbi_cpp,25,10000,1000,9,7.034024
decode_tensor_viterbi_omp,25,10000,1000,0,8.915862
decode_tensor_viterbi_omp,25,10000,1000,1,2.190082
decode_tensor_viterbi_omp,25,10000,1000,2,2.193682
decode_tensor_viterbi_omp,25,10000,1000,3,2.190526
decode_tensor_viterbi_omp,25,10000,1000,4,2.194522
decode_tensor_viterbi_omp,25,10000,1000,5,2.187395
decode_tensor_viterbi_omp,25,10000,1000,6,2.188233
decode_tensor_viterbi_omp,25,10000,1000,7,2.186686
decode_tensor_viterbi_omp,25,10000,1000,8,2.195403
decode_tensor_viterbi_omp,25,10000,1000,9,2.212755
HSMMLearn_CPP,25,10000,1000,0,78.164401
HSMMLearn_CPP,25,10000,1000,1,78.315903
HSMMLearn_CPP,25,10000,1000,2,78.236868
HSMMLearn_CPP,25,10000,1000,3,78.238014
HSMMLearn_CPP,25,10000,1000,4,78.117281
HSMMLearn_OMP,25,10000,1000,0,3.614076
HSMMLearn_OMP,25,10000,1000,1,3.579339
HSMMLearn_OMP,25,10000,1000,2,3.564309
HSMMLearn_OMP,25,10000,1000,3,3.582676
HSMMLearn_OMP,25,10000,1000,4,3.595874
