function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,15,1000,500,0,0.108278
decode_tensor_viterbi_cpp,15,1000,500,1,0.105050
decode_tensor_viterbi_cpp,15,1000,500,2,0.104960
decode_tensor_viterbi_cpp,15,1000,500,3,0.104938
decode_tensor_viterbi_cpp,15,1000,500,4,0.104907
decode_tensor_viterbi_cpp,15,1000,500,5,0.104927
decode_tensor_viterbi_cpp,15,1000,500,6,0.104904
decode_tensor_viterbi_cpp,15,1000,500,7,0.104923
decode_tensor_viterbi_cpp,15,1000,500,8,0.104914
decode_tensor_viterbi_cpp,15,1000,500,9,0.104922
decode_tensor_viterbi_omp,15,1000,500,0,9.226713
decode_tensor_viterbi_omp,15,1000,500,1,2.626421
decode_tensor_viterbi_omp,15,1000,500,2,2.061179
decode_tensor_viterbi_omp,15,1000,500,3,1.988562
decode_tensor_viterbi_omp,15,1000,500,4,0.674659
decode_tensor_viterbi_omp,15,1000,500,5,0.675122
decode_tensor_viterbi_omp,15,1000,500,6,0.673823
decode_tensor_viterbi_omp,15,1000,500,7,0.674191
decode_tensor_viterbi_omp,15,1000,500,8,0.671828
decode_tensor_viterbi_omp,15,1000,500,9,0.675698
HSMMLearn_CPP,15,1000,500,0,1.239429
HSMMLearn_CPP,15,1000,500,1,1.180706
HSMMLearn_CPP,15,1000,500,2,1.180052
HSMMLearn_CPP,15,1000,500,3,1.180885
HSMMLearn_CPP,15,1000,500,4,1.180462
HSMMLearn_OMP,15,1000,500,0,0.101806
HSMMLearn_OMP,15,1000,500,1,0.085122
HSMMLearn_OMP,15,1000,500,2,0.085175
HSMMLearn_OMP,15,1000,500,3,0.085788
HSMMLearn_OMP,15,1000,500,4,0.085944
