function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,25,1000,500,0,0.280393
decode_tensor_viterbi_cpp,25,1000,500,1,0.277234
decode_tensor_viterbi_cpp,25,1000,500,2,0.277225
decode_tensor_viterbi_cpp,25,1000,500,3,0.277301
decode_tensor_viterbi_cpp,25,1000,500,4,0.277183
decode_tensor_viterbi_cpp,25,1000,500,5,0.277302
decode_tensor_viterbi_cpp,25,1000,500,6,0.277206
decode_tensor_viterbi_cpp,25,1000,500,7,0.277133
decode_tensor_viterbi_cpp,25,1000,500,8,0.277061
decode_tensor_viterbi_cpp,25,1000,500,9,0.277157
decode_tensor_viterbi_omp,25,1000,500,0,4.694652
decode_tensor_viterbi_omp,25,1000,500,1,0.632469
decode_tensor_viterbi_omp,25,1000,500,2,0.630424
decode_tensor_viterbi_omp,25,1000,500,3,0.630847
decode_tensor_viterbi_omp,25,1000,500,4,0.632880
decode_tensor_viterbi_omp,25,1000,500,5,0.632508
decode_tensor_viterbi_omp,25,1000,500,6,0.626854
decode_tensor_viterbi_omp,25,1000,500,7,0.632050
decode_tensor_viterbi_omp,25,1000,500,8,0.630655
decode_tensor_viterbi_omp,25,1000,500,9,0.631250
HSMMLearn_CPP,25,1000,500,0,3.231973
HSMMLearn_CPP,25,1000,500,1,3.184628
HSMMLearn_CPP,25,1000,500,2,3.182378
HSMMLearn_CPP,25,1000,500,3,3.179997
HSMMLearn_CPP,25,1000,500,4,3.181250
HSMMLearn_OMP,25,1000,500,0,0.159348
HSMMLearn_OMP,25,1000,500,1,0.144759
HSMMLearn_OMP,25,1000,500,2,0.144424
HSMMLearn_OMP,25,1000,500,3,0.144154
HSMMLearn_OMP,25,1000,500,4,0.144385
