function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_cpp,15,1000,100,0,0.017756
decode_tensor_viterbi_cpp,15,1000,100,1,0.017268
decode_tensor_viterbi_cpp,15,1000,100,2,0.017336
decode_tensor_viterbi_cpp,15,1000,100,3,0.017216
decode_tensor_viterbi_cpp,15,1000,100,4,0.017273
decode_tensor_viterbi_cpp,15,1000,100,5,0.017222
decode_tensor_viterbi_cpp,15,1000,100,6,0.017166
decode_tensor_viterbi_cpp,15,1000,100,7,0.017209
decode_tensor_viterbi_cpp,15,1000,100,8,0.017152
decode_tensor_viterbi_cpp,15,1000,100,9,0.017292
