function,n_states,timesteps,max_duration,iteration,elapsed_s
decode_tensor_viterbi_omp,75,1000,1000,0,2.874351
decode_tensor_viterbi_omp,75,1000,1000,1,2.874845
decode_tensor_viterbi_omp,75,1000,1000,2,2.873992
decode_tensor_viterbi_omp,75,1000,1000,3,2.873671
decode_tensor_viterbi_omp,75,1000,1000,4,2.874108
decode_tensor_viterbi_omp,75,1000,1000,5,2.871731
decode_tensor_viterbi_omp,75,1000,1000,6,2.872805
decode_tensor_viterbi_omp,75,1000,1000,7,2.872769
decode_tensor_viterbi_omp,75,1000,1000,8,2.870442
decode_tensor_viterbi_omp,75,1000,1000,9,2.873850
